별점,리뷰내용,작성자,작성자 프로필 링크,시간,사업장명
5,"깔끔하니 맛이 좋은 국밥집.
밥도 개인적으로 좋아하는 식감이라 국물이랑 함께 먹기에 좋다.
얼큰으로시켰는데 적당히 먹기좋게 맵다.

술도 파는데 맛있어보이는 술들이 많다.
메뉴를보면 술안주로 먹을만한 것들이 있는데 난 혼밥을해서 못먹어본게아쉽다.
사장님은 친절하시고 가게도 깔끔하고 맛있다.
재방문의사는 있으나 멀리서 오기에 위치는 조금 아쉽다",B K,https://www.google.com/maps/contrib/102736215150568380319/reviews,5달 전,우탕
4,에서 한우사골스지곰탕... 메뉴와 가격은 사진 참조~,Bumsang Kim,https://www.google.com/maps/contrib/108662752474504814274/reviews,6달 전,우탕
5,최고의 갈비탕. 갈비가 정말 부드럽습니다. 대파 추가해서 드시는 걸 추천.,라쿠엔,https://www.google.com/maps/contrib/104172811721577800358/reviews,2년 전,우탕
5,"갈비탕이 기본으로 아주 맛남ㅋ 자극적이지 않고 깔끔하게 든든한 맛!
육개장은 맵찔이(신라면까지)에게 매콥하게 먹을 수 있는 곳ㅋ

다만 밥이 꼬들밥이라 개인적으론 아쉬운 곳....
그래도 여러번 방문한 집ㅎㅎ",Seunghoon Jeong,https://www.google.com/maps/contrib/101608087294184069506/reviews,1년 전,우탕
3,"음식도 늦게 나오고 직원들도 불친절,,,했던 파스타집

음식: 음식 네 개 시켰는데 다 나오는데 30분 넘게 걸림. 심지어 마지막으로 나온 봉골레파스타가 너무 매워서(매운 거 잘 먹는데도 입이 얼얼할 정도) 깜짝 놀라 정중히 다시 조리를 부탁. 다시 나오는데 또 15분 넘게 걸림ㅋㅋㅋ... 뇨끼 평범했고 리조또 맛있었는데 봉골레 때문에 많이 화가 났었음;;

서비스: 그냥 웨이팅하는 시스템인데 남자 직원분들 안내도 없고 눈 마주쳐도 피함. 빈자리 찾아서 알아서 앉아야 하나 안내를 기다려야하나 계속 고민함... 봉골레파스타 너무 늦게 나와서 혹시 취소 안되냐고 여쭈었는데(안된다하시면 재조리 부탁드리려고 했음) 다들리게 '안된다고해'하심ㅋㅋㅋㅋㅋ하하^^,,, 오픈키친인데 친절함 1도 없고 인사해주는 사람도 없음. 서빙하는 알바언니들은 친절했음!

분위기: 깔끔하고 예쁨. 매장이 넓진 않지만 테이블도 은근 많고 괜춘. 조금 좁은 느낌이 있지만 그래도 센스있었음.

결론적으로 재방문 의사 0 웨이팅 비추함",챌니,https://www.google.com/maps/contrib/110083593297316743551/reviews,2달 전,리차드하우스 연남
5,매콤 크림 파스타 진짜 하나도 안느끼하고 너무 맛있어요..! 새우도 완전 통통해서 맛있게 먹었습니다??,심희경,https://www.google.com/maps/contrib/101213738107721098900/reviews,2달 전,리차드하우스 연남
5,오랜만에 맛있는 파스타 집 찾음. 우니 파스타 진짜 너무 맛있음. 살짝 매콤한데 엄청 크리미 하지 않고 딱 좋음. 무조건 다시 와야지,DDukDDak LEE,https://www.google.com/maps/contrib/117957112782392086935/reviews,4달 전,리차드하우스 연남
4,"대기는 있지만 회전율이 빠른 편이에요. 그만큼 가게나 테이블이 좁은 편. 음식은 대체로 간이 셌어요. 스테이크가 그래도 3만원댄데 넘 질기고 차가웠어요.
먼저 나온 파스타 다 먹을 때쯤 나왔는데도ㅠ
직원분들은 친절하시고 분위기도 나쁘지 않았어요.",yunn n,https://www.google.com/maps/contrib/108499674524271739635/reviews,1년 전,리차드하우스 연남
5,연남동에서 무난하게 레스토랑 찾으신다면 여기!!!! 바질파스타 맛있어요,김은주,https://www.google.com/maps/contrib/107748932175763079051/reviews,6달 전,리차드하우스 연남
5,"이국적인 인테리어에 예사롭지 않은 메뉴가 궁금함을 갖게 함.

크림새우가 하나의 작품처럼 예쁘게 플레이팅되어 나왔다. 휘핑크림이 올라간 크림새우라고 하면 느끼함이 상상될 듯 한데, 전혀 그렇지 않고 상큼함에 놀랐다. 칩은 바삭하고, 양배추와 소스는 상큼하면서 부드러웠고, 새우튀김 옷도 느끼하지 않고 담백했다.

동파육은 잡내 없이 부드러움 그 자체였고, 연잎에 살포시 싸여져 나오는 것 또한 멋짐 포인트.

유산슬도 좋은 재료를 잘 볶아내서 머랭을 올려주는 모습에 음식에 대해 좀 더 상상하게 만드는 매력이 있었다.

이 외에 볶음밥과 면류가 독특했고, 중화복춘 살롱 시그니처 답게 음식에 대한 설명과 친절함 그리고 응대 또한 굿!",이야홍,https://www.google.com/maps/contrib/101924747826668066025/reviews,3달 전,중화복춘 살롱
5,"연남동에 간 김에 가본 미슐랭 식당입니다.
여자 둘이서 식사용 어향가지회반과 동파육 하나를 먹었습니다. 식사가 1.5인분양이라 하셨는데 제가 많이 먹는 편인지 식사가 많아보이지는 않았습니다.
어향가지회반에 들어간 재료가 많아보여 짠 동파육과 먹으면 중화가 안되지 않나 걱정했는데 일단 동파육이 하나도 짜지 않고 부드러우며 밥도 재료가 많이 들어가 있어 맛이 풍부하고 간이 적당해서 같이 먹기 좋았습니다. 전 동파육이 이렇게 부드러운 음식인지 처음 알았습니다.
또 짜사이?는 보통 제가 중식당가면 잘 안먹는데 이곳은 짜사이조차 매콤하고 신선함이 느껴졌습니다. 평일에는 캐치테이블로 예약을 할 정도로 줄이 길지는 않은데 들어오시는 분들 모두 예약하고 들어오시더라구요. 예약을 추천합니다.
서비스에서 별을 하나 뺀 이유는 한 분이 여러 테이블을 담당하다보니 조금 늦으실 때가 있어 뺐습니다.
그렇지만 다음에 누군가에게 대접을 할 일이 있다면 이 곳에 꼭 다시 가고 싶습니다.",Phillie Kim,https://www.google.com/maps/contrib/104685000144688715348/reviews,7달 전,중화복춘 살롱
4,"신구세대 퓨전 중식집이라고 할수 있다.
연남동 3지점 중 안가본 유일한 곳인데 드디어 입성. 매니저분이 유쾌하시다. 추천해주신 음식들로 맛있게 먹었다. 음식맛이 약간 달게 느껴지는것들도 있었지만 전반적으로 비주얼이 극상이다. 여성분들 모시고 가면 특히 반응이 좋은 중식집이다.

가격이 조금 있지만 평생회원 가입하면 3지점 모두 주류일체 20% 할인된다. 3번만가도 본전이기에 이근처 자리 있으신분들 추천한다:)",신종현,https://www.google.com/maps/contrib/113729101473247517848/reviews,9달 전,중화복춘 살롱
1,"런치식사했습니다 중화복춘동파육,목화솜 크림새우,빠오즈,초마미엔,음료  주문했습니다.
테이블에 벨을 아무리 눌러도 직원분 너무 안오시네요
목화솜크림새우는 새우튀김이 미지근했어요 정확히 식었다는 표현이 맞을것같습니다. 레몬크림소스에 생크림이 올라가있었는데 그위에 레몬을 갈아주셔서 상큼달달했고 독특했어요 맛있지는 않았습니다
중화복춘 동파육은 연잎과함께 쪄내서 은은하게 연잎 향이 나는게 특징이라 하셨습니다 위에는 인삼 한뿌리가 올라갔고 먹기좋게 커팅해주셨습니다. 동파육과 청경채  견과류와함께 먹어봤는데 청경채는 들익었고 동파육은  부드러웠습니다만 소스맛이 난해했어요 애매한맛. 견과류에 대추말린게 있었는데 음식과 잘어울리고 좋았습니다. 지금와서보면 다시 먹고싶은맛은 아니네요
초마미엔은 해산물이 푸짐하게들어갔는데 맛이 슴슴해서 무슨맛인가 난해했습니다
빠오즈는 따끈따끈하고 보드라웠어요 다만 맹만이였어요 전체적으로 음식이 싱겁습니다
서비스 최악입니다 자리에서 결제하고 가족들과 나오는데 빌지를 가지고가냐하시더군요 제가 빌지를 왜 갖고갑니까ㅋㅋ 어이가없어서 ㅋㅋ 테이블위에 빌지가있다 말씀드렸더니 단발머리 여직원분이 ""아~""  이러시던데 마지막까지 대박이셨어요. 인테리어는 멋집니다 음식맛없고 서비스도 형편없어요 양이 많아서 배는부르게 식사했습니다",정주희 (ANNEZUE),https://www.google.com/maps/contrib/106298331160484839658/reviews,7달 전,중화복춘 살롱
4,비싸서 자주 못가지만 ;) 좋습니다 툭히 분위기가요 !! 한국인이 주인이길 바랍니다,생강GINGER,https://www.google.com/maps/contrib/102527620184935511977/reviews,1달 전,중화복춘 살롱
5,"프라이빗한 느낌의 술집이에요. 칫솔, 머리끈도 구비해두시고 초인종 눌러야 들어갈 수 있는 입구까지.. 편안한 컨셉이 매력입니다. 음식 맛은 덤!",dd,https://www.google.com/maps/contrib/115564393870353072864/reviews,2년 전,레이트 체크아웃
3,"분위기가 좀 생각보다 그냥 그렇더라구요
음악도 별로구요
봉골레파스타랑 오리스테이크 맛도 별로였음
재방문의사는 없습니다",올리브,https://www.google.com/maps/contrib/102504129803958740366/reviews,2년 전,레이트 체크아웃
5,맛없는게 없고 다 맛있어어요!!,조서현,https://www.google.com/maps/contrib/114217580205312080104/reviews,일주일 이내,레이트 체크아웃
5,,TAKA san,https://www.google.com/maps/contrib/113616582905914356266/reviews,1년 전,레이트 체크아웃
5,"가게 내부가 무척 깔끔하고 예뻤습니다.
튀김이 정말 맛있었고, 중간중간 나오는 요리도 너무 맛있었습니다.
가격은 저렴한데 양이 꽤나 많아서 몹시 배부르게 나오실 수 있습니다.",부태,https://www.google.com/maps/contrib/106720939562321849929/reviews,2년 전,쿠시모토
4,다양한 음식이 합리적인 가격으로 나왔다. 또한 느낌도 마치 일본에 있는것 같아서 여행 온 기분이라 좋았음,J,https://www.google.com/maps/contrib/110977866840609507107/reviews,2년 전,쿠시모토
3,다른 비슷한곳도 많을것같음,박석원,https://www.google.com/maps/contrib/114819478737386682662/reviews,7달 전,쿠시모토
5,"훌륭한 식사 경험. 음식의 질과 음식의 양을 생각하면 돈에 비해 많은 이익을 얻을 수 있습니다. 포만감과 만족감을 느꼈습니다. 사장님/셰프님도 너무 친절하셨어요

유일한 단점은 한국어를 하지 못하면 셰프의 영어가 제한되어 있기 때문에 셰프가 말하는 모든 것을 이해할 수 없다는 것입니다.

예약은 필수이며, 예약이 가득 차기 전에 일찍 완료해야 합니다. 수요일에 예약했는데 일요일 8시 30분에만 자리가 있었어요. ""Catch Table""이라는 앱을 통해 예약할 수 있습니다(다른 많은 레스토랑에서도 사용 중).

적극 권장",Chris Kwon Lewis,https://www.google.com/maps/contrib/105751055462148698775/reviews,2년 전,쿠시모토
5,"연남동 분위기 좋은 이자카야!
일본 애니메이션 좋아하는 분들이라면 엄청 좋아할 듯! 안주 뭘 시켜도 다 맛있고 저렴하고
하이볼, 사와, 츄하이 술 종류도 진짜 다양하고 다른 술집보다 훨씬 싸요! 가성비 좋은데 맛도 좋아서 재방문 하고싶은 연남동 술집??",tndus,https://www.google.com/maps/contrib/108952456194360970019/reviews,2달 전,연남 안테이쿠
5,연남동에 놀러갔다가 이자카야 분위기도 좋고 하이볼 종류가 다양해서 방문했는데 내부분위기가 정말 아기자기하고 일본현지같은 느낌도 났어요! 음식도 다양하게 시켜먹어 봤는데 시오파스타랑 가라아게 등 다 맛있고 추천이요! ㅎㅎ 음식도 빨리나오고 하이볼도 저렴해서 즐기기 좋았습니다??,이여름 (여름빵),https://www.google.com/maps/contrib/108420349322711337113/reviews,3달 전,연남 안테이쿠
5,"연남동에서 일본 감성 제대로 느끼고 싶다면 안테이쿠 추천입니다! 가성비도 좋구요, 일본 여행 온 것 같은 아늑한 분위기에 하카타 돈코츠나베랑 시오야끼 파스타로 따뜻한 시간 보냈어요. 개인적으로 하와이안 츄하이랑 논알콜 피치칼피스 하이가 좋았는데, 상큼하고 달달한 맛이 딱 제 취향! 논알콜 음료 있어서 술찌친구랑 분위기 즐기기에 최고였던 곳이라 데이트나 친구 모임으로 추천드려요.",이은혜,https://www.google.com/maps/contrib/105825865614338855145/reviews,4달 전,연남 안테이쿠
5,"하이볼1위 맛집 답게 다양한 하이볼이 있어 골라마시는 재미가 있고, 산토리&짐빔은 너무 맛있다. 그리고 오키나와 생맥주가 있는게 특이했고~ 메뉴들이 모두 가성비가 좋은데 특히 시오야끼파스타와 키리모찌구이는 일본감성이 깃들어있고 맛있었다. 가라아게도 맛있고 사이드 디쉬로 시킨 참깨오이 샐러드는 인기 만점 이였다.",최정희,https://www.google.com/maps/contrib/110483659740644869811/reviews,3달 전,연남 안테이쿠
5,"연남동에 위치한 가성비 좋은 이자카야 연남 안테이쿠.
자리마다 다른 애니 테마로 꾸며져
독특하면서 친근한 분위기입니다.
거기에 따뜻한 온도와 조명까지 더해지니,
술 한 잔 하면서 대화하기 정말 좋았어요.
?
14년 요리 전문가가 만드는 일식 안주와 하이볼도
맛의 밸런스를 잘 잡아 호불호 없이 좋아할 것 같아요.
?
연남동 조용한 술집으로 강추합니다!",Chanmin Park,https://www.google.com/maps/contrib/109855643072154687650/reviews,4달 전,연남 안테이쿠
5,"# Menu: 간장에 빠뜨린 오겹살 수육 27,000
도토리묵을 곁들인 들기름 메밀국수 12,000
루드베리 12,000 치키피치 13,000
술 필수 구매해야 해요! 가격은 좀 비싸지만 안주가 하나하나 맛있어요ㅎㅎ 정성이 들어간 플레이팅이고, 가운데에서 조리해주시니 오마카세 먹는 기분이었어요~ 분위기가 정말 좋고 사람 간 간격도 넓은 편이라 얘기나누기 편했어요! 테이블도 널찍합니다.
분위기와 맛은 만족스럽지만 가성비는 조금 아쉬운 곳이었습니다~!",Senie,https://www.google.com/maps/contrib/105458853853313478967/reviews,1년 전,덕자도요
5,"안주가 깔끔하고 맛있어요. 주류 리스트들도 다양하고, 특히 사장님들이 틀어주시는 lp음악들이 너무 좋아요!! 꼭 한번 가보세요.",모닝인센스,https://www.google.com/maps/contrib/116695672169110859306/reviews,2년 전,덕자도요
5,,Ye,https://www.google.com/maps/contrib/108217100820854421143/reviews,7달 전,덕자도요
5,,Lira,https://www.google.com/maps/contrib/102472893092593134952/reviews,1년 전,덕자도요
1,,이상근,https://www.google.com/maps/contrib/117032583242122345074/reviews,2년 전,덕자도요
5,"개인적으로 가장 좋아하는 이에케 라멘을 다루는 가게입니다.

전국 라멘의 격전지인 연남 홍대에서 계속 운영될 정도로 뼈대가 있는 곳입니다.

보통으로 시켜도 라멘을 처음 드시는 분들이 먹기에는 자비없는 짠맛과 기름이 펼쳐지니 꼭 알아두시고 주문해주세요.

밥과 함께 드시면 느끼함, 짠맛 모두 완화되어
정말 좋은 조합이다라는 느낌도 들었습니다.

당연히 재방문 의사 있습니다.",Lucidflame,https://www.google.com/maps/contrib/102973649815891299880/reviews,3달 전,무겐스위치
5,"라멘의 차슈가 보들보들하고 고소한데다 면발도 잘 익어서 좋았습니다
추가로 시킨 미니덮밥도 정말 맛있었습니다",김동규,https://www.google.com/maps/contrib/111873846751593160071/reviews,5달 전,무겐스위치
5,"새빨간 인테리어가 트레이드마크인 연남동 이에케라멘 맛집이다. 대담무쌍하고 묵직한 국물로 직구를 던진다. 연하고 야들야들한 차슈가 정말 맛있으니 추가하는 것도 나쁘지 않다. 매우 진한 육수를 좋아한다면 간 세게, 기름 진하게로 주문하면 극락을 맛볼 수 있을 것이다. 짜고 느끼한 게 싫다면 부담스러울 수 있으니 유의.",Alex Han,https://www.google.com/maps/contrib/116384768158066215084/reviews,5달 전,무겐스위치
5,"풀토핑라멘(보통면-간 보통-기름 진하게), 차슈덮밥 주문
다찌석으로 되어 있고 혼자 드시러 오신분들도 꽤 많으셨다. 전체적으로 맛있게 먹었다 간간한 편이지만 국물이 진하고 맛있다 직원분들도 친절하시고 좋다",김성수,https://www.google.com/maps/contrib/101601751041784161875/reviews,1년 전,무겐스위치
4,"無限 Switch

이에케라멘 전문점. 1974년 개업한 요코하마의 요시무라야(吉村家)에서 기원한 라멘 계열이다.

이에케라멘의 특징은
- 돈코츠+쇼유 베이스, 굵은 면, 닭기름(계유)를 씀
- 고명으로는 시금치, 훈제 차슈, 다진 파, 김이 올라감
- 면의 강도, 맛의 농도, 닭기름의 양을 선택할 수 있음
- 두반장, 후추, 마늘, 식초 등을 이용해 취향대로 먹을 수 있음
등이 있다.

무겐스위치도 이에케라면의 제일 큰 특징인 커스터마이징 시스템이 잘 되어 있고, 토핑의 재현도도 높다.

♤ 풀토핑라멘 (11,000\)
풀토핑 라멘은 이 기본 베이스에 멘마와 계란이 추가로 들어간다. 첫 방문인 만큼 면 강도, 맛 농도, 닭기름 모두 중간으로 선택했는데, 면은 다음에 오면 더 단단하게 해서 먹을 생각이다.

국물은 중간 옵션임에도 상당히 짜고 녹진하다. 라멘보다도 돼지국밥을 먹는 느낌이다. 돼지향이 진하긴 하지만 닭기름의 개성도 강하기 때문에 일반적인 돈코츠와는 맛의 차이가 꽤 있다.

훈제 차슈와 시금치, 김, 멘마, 계란 등등 개성있는 토핑이 다양하게 올라가서 질리지 않고 다 먹을 수 있었다.

이에케라멘은 밥과 함께 먹는 것을 권장하는 라멘이지만, 이 날 속이 좀 안 좋아서 밥까진 먹지 못했다. 다음 기회에...

국밥같은 든든한 라멘을 찾는다면 추천. 해장하기에도 좋다.",jang ramul,https://www.google.com/maps/contrib/103608043953656784658/reviews,1년 전,무겐스위치
5,"장식이 아주 예쁘다!주인의 정성을 엿볼 수 있는 디자인입니다.
2층 연못은 사진 찍기 좋아요.
못이 다 생화라는 걸 알 수 있어요.
근데 좀 식감이 평범해서 아쉬워요.",Rachel,https://www.google.com/maps/contrib/110815982169961503971/reviews,1년 전,브래디스커피
4,"디저트메뉴가 종류가 좀 더 다양하면 좋을 것 같아요!
자리는 여기저기 은근 많이있었고, 인테리어가 예뻤어요",hyeoen,https://www.google.com/maps/contrib/118393136824900078329/reviews,1년 전,브래디스커피
4,"사진 푸사장소인듯.
친구와 우연히 들어갔는데. 사진 명소였는지 외국인들로 북적북적.
생화가 낡은 수돗가에 큰단으로 담겨있고 빛이 사방에서 들어와 사진이 에쁘게 나온다",이은미 (SUE),https://www.google.com/maps/contrib/114776726002692396585/reviews,2년 전,브래디스커피
5,사장님 친절하고 커피도 깔끔하고 치즈케익이 진짜 맛있어요!!! ??,김극지니,https://www.google.com/maps/contrib/117593564075574683764/reviews,1년 전,브래디스커피
5,"음료는 레몬국화차
빵이 구워져 따뜻해서 스프레드와 잘 어울려요.
이 카페 장식도 너무 귀엽고 예뻐요
사진 촬영에 매우 적합
전반적으로 매우 편안한 매장",丁善敏,https://www.google.com/maps/contrib/101181547925214577366/reviews,3달 전,브래디스커피
4,가죽공예 해보고 싶었는데.. 이곳에서 좋은 시간 보냈네요. 취미생활로 추천하고 싶어요~,Jaymee,https://www.google.com/maps/contrib/103881868396364000805/reviews,5년 전,레더쿡
5,"레시피에 많은 신경을 쓴 게 느껴지는 국수집. 그 어디서도 맛 본 적 없는 유일무이한 맛이었어요!
육전이나 고기가 토핑으로 많이 올라가서 배도 불렀고 사이드로 따로 시킨 육전도 너무 맛있었어요??
젊은 분들이 하시는 것 같던데 번창하시길 바라요~",Senie,https://www.google.com/maps/contrib/105458853853313478967/reviews,2년 전,국숯집
5,국밥이 너무 맛있네요. 요즘같이 추운날 딱좋습니다 ㅎㅎ,TV엄브랠라,https://www.google.com/maps/contrib/101244518046640295338/reviews,4달 전,국숯집
5,첫 손님으로 가서 아주 맛있게 먹었습니다 이번년도에 한국에 가면 꼭 다시 방문 예정입니다 :) 얼마나 더 맛있어졌을지 기대됩니다,Jisun Yoon,https://www.google.com/maps/contrib/110009609616978939865/reviews,9달 전,국숯집
5,맛있었어요!! 오픈형주방이라 위생은 말 할것도 없고 국물도 깨끗하고 맛있었어요. 다음엔 육전 먹어볼거예요.,Ji Young Lee,https://www.google.com/maps/contrib/103435806362974115713/reviews,2년 전,국숯집
5,너무 맛있게 잘 먹었어요,Jaeyoung Huh,https://www.google.com/maps/contrib/104400082977691113661/reviews,12달 전,국숯집
5,"비단 살롱 ㅡ 연남동 이자카야 불 철
라운드 형태의 이자카야
하이볼도 있고 안주도 맛있어요

남자 사장님 둘이 운영하고 있어요
작은 모임으로 가면 좋을 거 같고 빠 형태도 있고
테이블도 있고 ~
마무리로 샤베트 먹었는데 너무 깔끔하네요

#비단 #살롱 ㅡ #마포구 #연남동 #이자카야 #불철
#소모임 #맛집 #막걸리 #사케",비단,https://www.google.com/maps/contrib/108374001758965383710/reviews,6달 전,불철
5,안주가 맛있고 분위기도 좋아요! 직원분도 친절하세요.,Senie,https://www.google.com/maps/contrib/105458853853313478967/reviews,1년 전,불철
2,"보기엔 맛있어 보이는데 토마토 파스타는 무슨 맛인지 기억도 안나고, 그냥 파스타를 먹었네 정도. 피자는 도우는 괜찮았는데 소스가 뭔가 분리된 느낌. 별 색깔이 없는 곳",SGB,https://www.google.com/maps/contrib/108170118281725098538/reviews,2달 전,클래식당
4,"아늑한 분위기에 맛있는 양식을 먹을 수 있는 [클래식당] 다녀왔어요??

북적이는 거리 속 지하1층에 위치해있습니다. 테이블이 5~6개 정도로 많지 않아서 아늑하고 조용하니 좋았습니다. 연인, 친구들끼리 삼삼오오 모여서 식사하는 분위기였어요. 옆 자리에선 소개팅을 하고 있더라구요. 소개팅 자리로도 부담없이 캐주얼한 식당이었습니다.

음식은 스테이크, 파스타, 뇨끼, 라자냐 등 다양했습니다.
베스트 메뉴인 라자냐, 크림뇨끼 그리고 오징어먹물리조또 시켰는데 전부 맛있게 먹었습니다! 음식이 막 자극적이지 않고 조화롭게 맛있었어요 :)
다만 크림뇨끼가 겉이 튀겨서 나오던데, 살짝 탄 부분이 있어서 조금 아쉬웠습니다.",AJ,https://www.google.com/maps/contrib/114029327889366739412/reviews,2년 전,클래식당
4,"라자냐 때문에 방문한거였는데, 오히려 다른 메뉴가 더 맛있었다
라자냐는 소스가 좀 부족한 느낌이고
아란치니가 생각보다 맛있었다 튀긴 거니 맛 없는게 더 이상하지만..
그리고 스페셜 메뉴로 버섯 리조또가 있었는데 이것도 추천한다",맛박사,https://www.google.com/maps/contrib/105983340578207015147/reviews,5년 전,클래식당
4,"맛, 분위기, 서비스 모두 괜찮아요. 라자냐 맛집이라고 해서 갔는데 다른 양식집과 차원이 다른 특별한 맛이나 풍미가 있다고 느껴지지는 않았어요. 그래도 음식이 무난하고 깔끔하니 맛있어요. 소스 범벅이 아니라 좋았어요. 4인 좌석이 두개밖에 없어서 3-4인은 웨이팅이 많고 2인은 웨이팅이 별로 없으니 참고하세요. 맥주는 종류별로 전용잔에 주네요~",Arang Linh K,https://www.google.com/maps/contrib/104277976324126333559/reviews,5년 전,클래식당
2,"평이 좋아서 기대를 많이 했나보네요...
봉골레는 조개가 상태가 안좋아서 씹는 것마다 이물질이 씹혀 으적으적거렸고, 소스도 적어서 간도 밍밍했어요.
뇨끼는 소스는 괜찮은 편이었지만 뇨끼가 푸석하니 식감도 맛도 제입맛에는 맞질 않네요...",D.D,https://www.google.com/maps/contrib/108838825332355215271/reviews,2년 전,클래식당
5,지하 공연장 아담해요 아득하고 ^^,비단,https://www.google.com/maps/contrib/108374001758965383710/reviews,5달 전,연남 스페이스
5,"분위기좋은 홍대 이자카야 하나킨!!
여기 꼬치 완전 구성도 좋고 맛도리에요!
세트로 오뎅나베까지 완전 가성비!!
그리고 명란 가라아게가 진짜 어마어마합니다
너무 맛있었어요!
매장도 깔끔하고 사장님도 완전 친절하셔서 좋았습니다",돼지교수님,https://www.google.com/maps/contrib/111233366024849636113/reviews,2달 전,하나킨
5,하나킨 최고최고!! 꼬치구이 맛집 인정입니당???? 꼬치 하나하나 다 맛있는데 그중에 닭껍질꼬치가 최고입니다! 짬뽕도 얼큰해서 맛있어요. 귀여운 소품들도 있어서 귀여움 가득이에요????,YUJIN LEE,https://www.google.com/maps/contrib/118064087447558437463/reviews,1년 전,하나킨
5,이자카야 하나킨. 모듬꼬치 5종이 진짜 맛났다ㅜㅜ기본 안주로 나오는 토마토절임도 맛있었다. 정말 일본 이자카야처럼 작고 아담하며 분위기가 좋다! 다음에도 꼬치먹으러 무조건 재방문??,Senie,https://www.google.com/maps/contrib/105458853853313478967/reviews,2년 전,하나킨
5,전체적으로 음식이 다 맛있고 가격도 저렴한 편이에요 재방문 의사 100입니다.,박지원,https://www.google.com/maps/contrib/110109367912624120771/reviews,1년 전,하나킨
5,연남동 야끼토리 맛집이네요,김승태,https://www.google.com/maps/contrib/108039456782798803911/reviews,2년 전,하나킨
5,"에스프레소바가 많이 생기기도 했고 여기저기 찾아다니다 보니 요즘에는 인상적인 느낌을 받지 못했는데 개인적으로 오랜만에 리사르 첫 방문때 만큼의 인상적인 에스프레소를 경험한 곳입니다. 망원동 가장 안쪽이라 한참 걸어 들어가야해서 접근성이 조금 떨어지지만 찾아간 보람을 느낄 수 있었으며 날이 더워 코코핑거, 카페프로즌 같은 찬 에스프레소를 주문하였는데 다른 에스프레소바와는 확실히 차별화된 레시피가 신선하게 다가와서 마음에 들었습니다. 색다른 에스프레소를 즐기시고 싶은 분들은 꼭 한 번 방문해 보실 만한 카페라고 생각합니다.",Chanho Andrew Kim (MUYO),https://www.google.com/maps/contrib/115839560440026056723/reviews,1년 전,무슈부부 커피스탠드
4,"무슈부부

에스프레소 맛집으로
상당히 유명한곳이예요

교통편 안좋은 곳에 위치하지만
늘 사람이 많이 있어요

궁금하던 차에 들려봤습니다
와인바처럼 카페가
테이블바로 되어있는게
독특합니다

저는 레몬로마노,
아내는 체리블러드
주문하고 약간의 위스키를 넣었습니다

맛은 매우 매우 훌륭하고
손님이 많은 이유를 이해할수 있는 맛입니다
농후한맛과 설탕의 감미로움 조화가 좋습니다
마실때 커피별로 마시는 방법 안내해주니
꼭 듣고 드셔보면 좋을거같아요",조금이상한 일상,https://www.google.com/maps/contrib/113403123785924950988/reviews,2년 전,무슈부부 커피스탠드
5,"이곳 커피가 너무 맛있다고 추천 받아서 망원역 근처에서 라떼아트 원데이클래스 수업 후 방문했어요
1월에 방문했을때 직원분들이 교통사고로 문을 닫아서 아쉬웠는데 다행히 두분 직원분들이 건강회복해서 다시 오픈했더라구요
망원동까지는 사실 자주 방문하지는 않아서 한가지 메뉴만 먹기는 아쉬워서 세가지 메뉴 주문해서 마시고 왔습니다
세가지 메뉴 모두 맛있었습니다
에스프레소 메뉴들 말고 일반 메뉴들은 테이크아웃 으로 많이들 주문해 가시는거 같아요
내부 테이블은 모두 바형태로 되어있습니다",탁희선,https://www.google.com/maps/contrib/108110278528956672323/reviews,2년 전,무슈부부 커피스탠드
4,"정통 커피는 아니고 원두커피 베이스에 슬러시 타입의 음료 종류가 많은 것 같습니다.

카페프로즌 마셨는데 원두도 괜찮습니다.

블루리본 서베이에 리스팅 된 매장이네요~~",최용민,https://www.google.com/maps/contrib/106615294051541033154/reviews,11달 전,무슈부부 커피스탠드
5,"커피의 새로운 지평을 열어주는 독특한 경험! 늘 살기위해 먹는 커피가 아니라 진짜 커피를 즐기는 법을 배우고 왔습니다. 맛있는 아메와 라떼는 많지만 에스프레소들로 이렇게 감동을 받아보기는 또 처음이네요. 에스프레소 바라는 컨셉에 충실한 특색있는 장소였습니다!

개인적으로 비터스마키아또와 코르타도가 감명깊은 맛이었습니다?? 위드코로나인데도 위생에 신경쓰시는 모습이 인상깊었으며, 전 메뉴에 얼마나 많은 정성을 쏟아 한잔 한잔 서브하시는지 보고 있으면 입도 눈도 즐거운 곳입니다.

다소 공간이 협소하고 웨이팅도 있지만 1시간 제한이 있는데다 에스프레소들을 드시기때문에 회전은 빠른 편입니다. 충분히 기다릴 가치가 있는 맛이라고 감히 평해봅니다.",elilolulolilela Al (Jk),https://www.google.com/maps/contrib/108436581080550945602/reviews,3년 전,무슈부부 커피스탠드
