별점,리뷰내용,작성자,시간,사업장명
5,사장님들 너무 스윗하규 귀엽고 예쁘고 멋져요 🩶 후카가 너무 간지나게 생겼고 피는 나도 멋져지는 기분 ㅎ 다른 곳 후카랑 완전 차원이 달라요. 칵테일도 맛있고 티도 너무 맛있어요! 술 못마셔도 다양한 음료가 있어서 남녀노소 오기 좋을 것 같은 곳입니당. 분위기가 너무 좋아서 데이트로 오기도 좋고 친구들이랑 도란도란 수다떨기도 좋은 조용한 아지트같은 공간이에요. 덴 모르고 어케 살았지ㅠ 이제 여긴 제 2의 집입니다 >——ㅇ,김민지 (헤밍),4달 전,덴(Den) 연남점
5,"연남동에 이런 후카바가 있어서 너무 행복해요!
가성비 최고에
다른 곳 후카랑 완전 차원이 다름…
술 한잔 하면서 후카하면서 얘기하는 재미로 매번 방문합니다. 직원분들이 너무 친절하셔서 좋아요",Sean Kim,4달 전,덴(Den) 연남점
5,"This is an awesome hookah bar. It has a very relaxing vibe, great flavors, chill music, and prices affordable. Properly ventilated, the place doesn’t have a bad smell, and clean bathrooms. Lastly, the staff is SUPER friendly. I recommend everyone come here.

이것은 멋진 물담배 바 입니다. 그것은 매우 편안한 분위기, 훌륭한 맛, 차가운 음악, 그리고 적당한 가격을 가지고 있다. 환기도 잘 되고, 냄새도 안 나고, 화장실도 깨끗하고, 마지막으로 직원들도 아주 친절해요. 나는 모든 사람들이 여기에 오기를 추천한다.",Joshua Brown,4달 전,덴(Den) 연남점
5,"홍대 근방에서 제일 분위기 좋은 후카바입니다.
친절하시고 후카도 좋고 칵테일도 다 맛있어요 플레이리스트 맛집이라 칵테일 마시면서 수다떨기도 좋고 데이트하기도 좋은 분위기 입니다. 티를 시키면 티팟으로 나와서 좋아요 그리고 깨끗한 화장실이 내부에 있어서 최고로 좋습니다 😎❤️",웽웽,5달 전,덴(Den) 연남점
5,"너무너무 맛있는 연남동 돈카츠 맛집💚 혼밥하기에도 좋고 친구들과 가기에도 좋아보였어요
다찌석에 앉아 먹으니 편안하더라구요!😚
제가 느끼한걸 많이 먹지못해 항상 돈카츠집에 가면 돈카츠를 자주 남기곤 하는데 카츠몬스터 연남본점의
치즈카츠, 생로스카츠는 정말 맛있게 다 먹고 나왔답니다!!!!!! 추천드려요",미란,2주 전,카츠몬스터 연남본점
5,"히레카츠랑 상로스카츠 주문했어요.
같은 돈카츠여도 튀김옷에서부터 고기 숙성까지 차이가 느껴지니까 정말 맛있더라구요!
정식에는 카츠, 밥, 장국, 샐러드가 기본으로 나옵니다. 놀라운 건 이 모든 게 다 리필 가능! 밥도, 국도, 양배추 샐러드도 부족하면 계속 주세요.
돈카츠 좋아하는 분들은 카츠몬스터 꼭 한 번 들러보시길 추천드려요!",김지혜,1주 전,카츠몬스터 연남본점
5,"연남동 직장인인데 돈까스 먹고 싶으면 가는 곳이에요 벌써 N차 방문한 맛집 !
가브리살이 붙어있는 상로스카츠와 부드러운 히레카츠 주문해서 먹었는데 역시 바삭하고 부드러운 카츠에 너무 행복한 시간이었어요 :) 직원분들도 친절하시고 밥과 샐러드 리필 무료여서 저는 샐러드 무조건 한번 리필 하는 것 같아요. 싱싱한 샐러드에 돈까스 같이 먹으면 끊임 없이 들어가거든요 ㅎㅎ 카츠몬스터가 또 냉모밀 맛집이라 여름엔 냉모밀 먹으러 자주 갈 것 같아요 !",김혜민,3주 전,카츠몬스터 연남본점
5,딸내미와 연남동데이트 갔다가 돈카츠 먹었어요. 치즈돈까스에 들어가는 모짜렐라치즈 정말이지 혼자 다 먹고 싶더라구요. 한돈이라 잡내 1도 안나고 양배추샐러드 너무 맛있었어요. 소금과 와사비 찍어서 먹었을때 깔끔하고 맛있어서 돈까스 소스는 따로 필요 없게 만드는 연남동 카츠몬스터 짱!,김보경,1주 전,카츠몬스터 연남본점
5,"돈카츠 혼밥하기 좋은 곳입니다. 매장이 넓은 편은 아니지만 2-4인용 테이블과 1인석 골고루 있어서 동행수에 맞게 편리하게 선택 가능해요. 저는 혼밥 했고 등심, 안심, 치즈돈까스까지 돈까스 종류별로 다 먹을 수 있는 트리플카츠 주문했는데 다양하게 즐길 수 있어서 좋았어요. 그런데 양이 정말 많아서 결국 몇 점 남겼네요. 바삭하게 잘 튀긴 돈까스가 기름기 쏙 빠진 상태로 제공되서 덜 느끼한 편이라 물리지않고 맛있게 먹었습니다.",mimi k,3주 전,카츠몬스터 연남본점
4,프렌치 빈티지 스타일이랄지 유럽 농가스타일이랄지 느낌을 내려고 한듯한 ㅎㅎ 생긴지 얼마 안된 곳인지 아직 빈티지가 딱 붙진 않았지만 식기도 귀엽고 인센스 향도 좋고~ 편한 느낌이예요. 커피는 산미없고 부드러운 커피고요. 흔한 에이드가 아닌 과일차가 있었던게 특이했어요. 직접 베이킹 하시는지 막 뒤에서 재료 믹싱 하시던데 ㅎㅎ 밤 치즈 케이크 먹었고 너무 달지 않으면서도 맛있는...인테리어가 표방하는 것 같은 맛이었어요ㅋㅋㅋ,김민지,2년 전,앳더모먼트
5,"최고!
소르베라는 건 처음 먹어봐서 아이스크림 종류인 건지도 몰랐다. 체리 소르베 미쳤음. 찐체리로 쫀득쫀득하게 만든 아이스크림. 새콤달콤하면서 싼마이 맛도 아닌 후레시한 맛 그 자체.

난 딸기 올라간 생크림 케익을 좋아하지만, 생크림 케익의 푸석한 빵은 좋아하질 않는데, 동시에 치즈케익을 좋아한다. 여기 케익은 위는 딸기 생크림, 아래는 치즈케익이다. 부드러워 미친 것들로만 조합해 싫어할 수가 없는 케익이다.

사장님이 주신 서비스도 너무 좋다. 신부가 너무 좋아해 자주 올 것 같다.",심재승,1년 전,앳더모먼트
5,"편안한 분위기와 커피맛도 좋았어요.
사장님도 굉장히 친절했습니다!",sung eun,2년 전,앳더모먼트
5,분위기 좋고 커피가 맛있어요,김태현,2년 전,앳더모먼트
5,아늑하고 케이크도 맛있고 친절해요,Olivia Kim,2년 전,앳더모먼트
5,"지인 추천으로 기념일에 방문했습니다!
분위기도 좋고 직원분들도 정말 친절하게 맞이해주십니다. 음식은 더할나위 없이 맛있고 특색있습니다! 기념일이나 맛있는 요리 먹고싶을 때 오기 좋을 것 같아요~!!",호혜승,2달 전,한공간
4,"양꼬치를 좋아하는데 색다른 맛을 먹어보고싶으면 적극 추천한다. 양꼬치에서 나는 쯔란과 특유의양고기 구운 냄새에 매콤한 킥이있는 크리미한 소스가 함께 올려있는 전병이 진짜 맛있었다. 유린기도 유자맛이 아주 좋아서 자꾸 손이가고 맛있어서 단골하고싶은 곳이다.
다만 와인잔이 두꺼워서 와인을 먹는 맛이 섬세하지 오지않으니 콜키지로 따로 챙겨가도 좋을듯하다.",Eugene,3달 전,한공간
5,"맛 하나로 두, 세번째 방문 중인 집 .. 우연찮게 첫 방문한 이후에 정말 너무 맛있어서 지인분들에게도 추천했어요! 어딜 가든 항상 같은 것만 먹는 제게,, 여긴 모든 메뉴가 궁금해서 갈 때마다 안먹어본 메뉴를 시키는데 정말 모든게 다 너무 맛있어요 .... 유명해졌음 좋겠지만 유명해지지마세요 사장님 항상 감사합니다 !",예라 yera,2달 전,한공간
5,양고기 전병플레이트랑 유린기가 베스타 메뉴였는데 너무 맛있어요. 유린기는 깔끔하면서 상큼하고 양고기는 알싸하게 매콤해서 같이 먹기 딱 좋았습니다. 조명과 매장 분위기도 너무 좋아요.,강한별,3달 전,한공간
5,내부 테이블이 별로 없는거 빼곤 다 좋아요. 마라 들어간 음식이 많아서 마라 좋아하면 방문하세요. 안들어간것도 맛잇어요 최고,Pizzaman K,1달 전,한공간
4,"아늑하고 조용해서 서로 얘기하기도 편하고 따뜻하게 연말모임 하기 좋았어요. 시그니처 피자는 고르곤졸라 같은 느낌의 피자인거 같은데 꿀이 좀 독특한 맛이 나더라구요. 꿀향이 강해 피자맛을 좀 해치는거 같다는 생각이  개인적으로 들었어요. 그래도 브루스게타랑 치킨 가라아게는 특별한 맛은 아니지만 실패없이 무난하게 시키기 좋은 메뉴인거 같아요. 여긴 주문하면 10분 이내로 음식이 빨리 나오고 직원분들이랑 소통이 잘 되는 점이 너무 좋았어요.
그리고 여긴 맥주 맛집인거 같아요. 리프만 프루트제 맥주는 베리향이 나면서 달달해 여자라면 거의다 좋아할거 같아요. 이름이 기억은 안나지만 다른 맥주도 맛있었어요.",Kyte,5년 전,장농속 2호점
5,"카차프리, 가라아게, 미트볼, 라코타치즈 샐러드랑 맥주는 페일에일, 모카 스타우트, 리프만 프루티제 먹음. 여기서 페퍼로니 피자도 먹어봤는데 개인적으로 피자 맛집이라 생각함. 카차프리랑 페퍼로니 가장 추천. 나머지 메뉴는 그냥 무난하고 가볍게 먹기 좋음. 맥주는 본인이 마신 리프만 프루티제만 기억 나는데 여성분들이 부담 없이 마시기 좋음. 맛있었음 도수도 적고!",주힌,4년 전,장농속 2호점
5,아쉬운 데이트를 끝내기 전 더 같이있고 싶어서 걷다가 꽤 괜찮아 보이는 술집을 발견해서 무작정 들어가게 된 장농속. 왜 장농속인가 했는데 딱 우리가 앉게 된 자리가 장농속 같은 느낌의 단 둘이 앉을 수 있는 자리였다. 오픈 된 다른 자리들과 달리 좀 더 조용하고 서로에게 집중 할 수있는 자리였다. 배가 이미 불렀지만 아이피에이와 스타우트 그리고 감자튀김을 주문했다. 이전에 한창 수제맥주에 빠져 직접 일도해보고 다양한 곳을 다니며 먹기도 했는데 이곳의 특징은 아이피에이의 홉의 향이 과하지 않고 은은했으며 스타우트의 초코향이 진하지 않고 부드러웟다. 특징을 부각시키지 않고 그 맥주들의 특징을 조화롭게 만든 맥주같은 느낌이었다. 이곳 개인적으로 마음에 꼭 든 술집이다. 다음에는 더 다양한 술들을 마셔보고 싶다. 재방문율 333%,김리버,1년 전,장농속 2호점
4,"분위기 좋았던 술집. 메뉴는 인기많았던 피자를 주문하였고, 간단하게 칩스를 시킴 칩스는 가격대비 양이 너무 적었다ㅠㅠ 그래도 친구들과 담소나누기 좋았음",Ann Lee,1년 전,장농속 2호점
4,"소개팅이나 데이트하기 좋을 만한 분위기 있는 와인/맥주집입니다. 사진에서 보시는것처럼 제가 앉은 자리가 무슨 옷장같은곳에 들어가서 기분이 묘하긴 했는데 이런 자리는한군데밖에 없고 테라스자리가 제일 좋아보였습니다. 내부 홀 분위기는 어두컴컴해서 좋긴한데 약간 소리가 울리는 느낌이 들긴 합니다.

저는 맥주를 시켰는데 부드럽고 괜찮았습니다. 가격이 약간 쎄긴 하지만 홍대가 다 그렇죠 뭐.

아쉬운점은 안주였습니다. 토마토 부르스케타를 주문했는데 빵이 질기고 빵이 위에 올라간 내용물보다 과하게 커서 먹기 불편했습니다. 그 이외의 것들은 2차 안주라고 보기에는 헤비한것들이구요. 그나마 부르스케타가 가장 가벼운 안주였습니다.

그래도 전반적으로 홍대 분위기가 물씬 느껴지는 괜찮은 술집입니다.",김패스,2년 전,장농속 2호점
5,"우선 다른거 먹으러 가다가 우연히 발견해서 그냥 들어갔습니다. 사장님께서 너무 친절하게 맞이해주셔서 주문하고 기다렸고, 솔직히 돈까스 거기서 거리라고 생각해서 큰 기대는 안했습니다. 근데 먹어보니 고기가 너무나도 부드러웠고 입에서 진짜 녹더라고요. 원래는 그런말을 이해못했었는데. 가격도 너무 싸고 사장님께서 콜라도 하나 서비스로 주셔서 잘 먹고 왔습니다. 가게도 청결하고 너무 좋은 경험 하고 왔습니다. 수준미달 음식점이 넘처나는 이런 세상에 이런 부족한 점 하나 없는 음식점이 있다는거에 놀라고 갑니다. 다음에는 친구도 여기서 식사자리에 초대해야겠어요. 사장님 이 리뷰 읽으실 지는 모르겠지만 다음에 또 찾아가겠습니다. 감사합니다.",Mingyu Choi,4달 전,카츠요
5,"웨이팅 한 30분 정도 한 거 같은데, 기다릴만 하네요!
사장님 정말 친절하세요👍
등심, 안심 다 튀김옷도 적당히 바삭하고, 고기 질이 정말 부드러워요.
맛있게 잘 먹었네요😋",DongYun Lee (Yun),1년 전,카츠요
5,미쳤다는 말밖에 안나오는 맛입니다. 어떻게 일본에서 먹은 돈카츠보다 더 맛있죠..? 입에서 살살 녹는다는 말이 뭔지 알 것 같습니다. 사장님이 직접 담그신 김치도 맛있고 양배추 드레싱까지 한상이 그냥 완벽합니다. 매장도 깨끗하고 사장님도 친절해서 또또또 방문하게 되네요.,최혜련,1년 전,카츠요
5,"높은 퀄리티의 육즙 가득한 돈카츠와 맛있는밥, 돈지루, 필살기 갓김치 까지 너무 맛있는 메뉴에 사장님의 친절함이 자꾸 오고싶게 하는 매력을 갖고있습니다. 추천해요 믿고 가보세요!

The high quality Donkatsu, delicious rice, pork soup, and kimchi are so delicious. The boss's kindness keeps making me want to come. I recommend it. Trust me and go!",JeongWoo Keem,2년 전,카츠요
5,"한국에서 경험할 수 있는 최고의 카츠집 입니다.
외국인, 혼자 식사도 가능하며 사장님이 너무 친절 하십니다!
이곳에 오셨다면 후회하지 않을 경험을 할겁니다.",정광수,1년 전,카츠요
4,"연남동 골목 2층에 위치한 작은 카페. 좌석도 좁고 간격도 좁은편이지만 그래도 좌석수가 엄청 적진않음! 다양한 디저트가 있었다(케이크, 스콘 등등) 우린 아이스크림 크로플먹었는데 맛있어서 순삭함.. 주말엔 좁은공간에 사람이 북적대는것 같아서 평일에 방문하고싶다~",김예슬,4년 전,플루프커피(Plouf coffee)
5,"부라운치즈 케이크? 짱짱 맛나요
가게도 귀엽고 사장님 친절하심니다",Mj,2년 전,플루프커피(Plouf coffee)
5,"브라운치즈케이크 미침 완전 맛있어요
디카페인콜드브루가 있으니 카페인못드시는분들은 참고하세요👍",mj s,2년 전,플루프커피(Plouf coffee)
4,2층에 있어서 나름 조용?,roadpicture,2년 전,플루프커피(Plouf coffee)
5,인테리어 예쁘고 케이크 맛있어용,HY Cho,2년 전,플루프커피(Plouf coffee)
4,"친구들 모임이있어 간곳.
잠봉햄 리조또는 자극적이지 않음. 친구는 넘 맛있다고함.
바질파스타 슴슴함. 브리타 치즈무화과 샐러드도 나쁘지않음.
로제파스타도 맛있음
저녁 8시까지 영업시간이 좀 아쉬움.",채별,7달 전,오뗄 드 꾸뜨
5,"낮에는 브런치, 저녁에는 파스타와 스테이크 그리고 와인을 즐 기실 수 있는 홍대 오뗄드꾸뜨 허니콤(벌집) 프렌치 토스트가 대표 메뉴인데요
내가 주문한 바질 명란 파스타면이 독특하고 바질페스토와 명란 새유가 들어 있습니다,
시즌과일 부라타치즈 샐러드도 제철과일과 야채를 곁들여 먹으니까 좋더라구요
분위기 좋아 소개팅 데이트장소로 아늑하고 분위기 좋네요",LEE JUNGEA,1년 전,오뗄 드 꾸뜨
5,잠봉크림리조또 바질새우명란파스타 둘다 맛있어요!! 분위기도좋고 음식도예쁜데 맛도훌륭합니다,가나다라,6달 전,오뗄 드 꾸뜨
5,"메뉴를 보면 브런치 카페에 가까워보인다. 토스트와 파스타가 기본 메뉴이고, 독특하게 선불이다.
음식의 양은 많지는 않지만 음식들이 담백하고 무겁지 않다.
에그인헬도 무겁게 만드는 곳의 음식을 먹었을때는 소화가 안되는 느낌도 있었는데 모든 음식이 강하지않고 오일리하지도 않다.
파스타면도 소스와 너무 잘어울리는 독특한 면을 사용한다.

2층에 있어서 찾기는 조금 어렵지만 음식이 사진보다 가볍고 맛난다",Jaeho Kim,1년 전,오뗄 드 꾸뜨
5,"서울에 친구랑 놀러와서 마포구에 왔다가 들렸습니다.

리조또와 로제 파스타를 먹었는데 로제파스타는 통베이컨이 있어서 신박했고, 맛있었습니다. 하지만 파스타가 느끼해서 피클이 필수인 맛입니다. 리조또는 노른자와 리조또가 너무 잘어울려서 더 먹고 싶은 맛이었습니다. 여기에 오신다면 꼭 리조또는 드셔보세요!!",박시온,1년 전,오뗄 드 꾸뜨
4,"금요일밤, 시부야의 선술집에서 술마시는 기분. 종업원도 친절한 일본인이시고 술도 일본식 하이볼이다. 다만 안주는 개인적 취향으로 크게 입맛에 맞지않았다.. 분위기를 즐기신다면 추천!",ToTheRain,1년 전,스탠딩박스
4,"연남동 골목안 하이볼 전문점.

각종 하이볼 메뉴와 일본 위스키, 아사히맥주와 가벼운 안주류를 판다. 벽에 돌아가는 영상부터 자그마한 소품들로 인해 가보지도 않은 일본에 있는것 같은 느낌이 물씬-
기본 산토리 하이볼이 깔끔하고 맛있다. 주당이라면 산토리를 기본 용량의 두배로 넣어주는 메가 하이볼을 추천!
밥을 먹고 가서 가벼운 안주를 찾다 오이무침을 시켰는데, 뭐 든것도 없어 보이는데 묘하게 맛있고 매력있다.

오며가며 자주 들러볼 것 같은 장소- 다음에는 닭껍질교자 먹어야지!",미소녀천재,2년 전,스탠딩박스
4,좁고 테이블하고 의자가 불펀히긴하지만 그냥 하이볼 한잔하기엔 나쁘지 않아요,chang geun song,1년 전,스탠딩박스
5,처음방문이었는데 직원분께서 친절하게 응대도 잘 해주셨습니다 하이볼은 기본적으로 단맛이 없고 토닉워터랑 샷추가로 원하는대로 조절이 가능했습니다 음식은 개인적으로 특별하진 않았지만 맛있게 먹었습니다,김동민,1년 전,스탠딩박스
5,마부장님 하이볼이 궁금하다면 바로 여기!!,cam Park (DREM),2년 전,스탠딩박스
5,홍대 그로테 두번째 방문. 음료는 훌륭하지만 소유자 David Seo가 매력적입니다. 정말 훌륭한 호스트입니다. 미국과 한국에서 인기 있는 위스키에 대한 정보를 교환하고 대화를 나누는 것이 정말 좋았습니다. 지금 서울 RT에서 인기 있는 위스키는 #bookersbourbon #russelswhisky #wildturkey 입니다 🤯,David Lee,2년 전,그로떼(Grotte)
5,놀라운 와인 - 그리고 훨씬 더 나은 호스트 🙌,Florian Sylvester,6달 전,그로떼(Grotte)
5,"따뜻한 환영과 훌륭한 음료, 즐거운 시간을 보내고 싶다면 이곳을 방문하세요.",Madry Grivman,2년 전,그로떼(Grotte)
4,연남동 가성비 이자카야 집으로 사람이 많아 웨이팅이 있을 수 있음 애매한 시간대에 잘 맞춰서 가면 운 좋게 금방 들어가기도 하니 참고하시길 바람 가격대가 저렴한 편이나 대체적으로 양이 조금 적다고 느껴질 수 있음 하지만 음식이 모두 맛있으며 일본풍 아기자기한 소품들 덕에 매장 내 분위기가 굿이었음 친구들끼리 만나 술 한 잔 하러 가기에 정말 괜찮으니 꼭 한 번 가보시길 바람,정하남,1년 전,쿠보
5,"월요일이라 이자카야 술집이 많이 닫아진날.
가고싶었던 곳이 휴무라 숙소와 제일 가까운
쿠보로 ㄱㄱㄱ결론은 대대만족♡
6테이블과 미니 바같은 2공간으로 아담하지만
은은한 조명과 분위기가 아늑한 술집.
하이볼도 넘나 맛있기.
특히 술 잘못하는 알쓰가 먹기에도 유자향이 가득한 쿠보하이볼최고!!ㅋㅋㅋ
나베칭찬이 많아 주문한 한우대창모츠나베는
깔끔하고 대창이 고소하니 완죤취향저격.
아귀튀김도 깔끔.
손님이 금세 만석이 되는 인기만점 이자카야
쿠보 기분좋게 잘 다녀갑니다.",김YJ,1년 전,쿠보
5,예약한 시간보다 일찍 도착했는데 일찍 착석할수있게 배려해주시고 직원분이 친절하게 고기를 구워주시면서 세심하게 신경써주셨습니다,박종은,1년 전,쿠보
5,"안주가 다양하고 맛있어요 !
날추워지면서 실내분위기 있는 술집으로는 최고네요!",헤이타로,1년 전,쿠보
5,"아기자기한
공간에서
따뜻한 나베에
사케가
잘 어울립니다
부담없이 갈수 있는 곳으로
강추",H K,1년 전,쿠보
5,"카탈리스트의 장점 세가지는 다음과 같습니다.

첫째, 세련된 환경과 훌륭한 분위기.
둘째, 바텐더분의 놀라운 솜씨.
셋째, 손님 취향에 완벽하게 맞춘 칵테일.

방문지 후보에 껴있다면 반드시 가보세요!",보관용,1년 전,카탈리스트
5,3층에 있어서 계단을 올라가야 하지만 시그니처 칵테일도 맛있고 분위기도 좋고 바텐더님들이 친절한 곳이에요,Shinwoong Park,12달 전,카탈리스트
5,"“촉매“ 라는 컨셉을 걸고 있는 만큼,
확실히 칵테일의 컨셉과 느낌이 확 느껴졌습니다. 😎🤩

칵테일을 마시다보면, 다른곳보다 양이 적고, 사우어한 느낌이나 스모키한 느낌이 비교적 강합니다.
개성이 특이하다고도 할 수 있구요. 😋

얼음이 들어가 있는 칵테일이라면, 빨리 마실필요 없이, 천천히 마시면 딱 음미하기는 최고인것 같아요. 😌

화장실은 깨끗하고, 핸드워시가 무려 3개가 구비되어 있어요. 🥺
곳곳에 걸려있는 미술품 보는 느낌도 좋고, 왕큰 제네바 스피커도 한 분위기를 내주더라구요~ 🤩

종합하자면, 만족스러운 방문이였어요. 👍👍",JEE SOO MOON,2년 전,카탈리스트
5,사장님께서 친절하시게 잘해드렸어요 술맛도 원하는데로 조절해주셔서 서비스도 좋으셔서 다음에또 올께요!,Dolly pink,4달 전,카탈리스트
4,다시 방문예정입니다 좋은경험!,RAUL KIM,1달 전,카탈리스트
5,"음식 하나 하나 제대로된 식자재라 정성도 있고 엄청 맛있었어요. 원테이블 레스토랑이라 프라이빗하게 시간을 보낼 수 있는 점도 좋았고요. 데이트나 가족 ㅁㅎ임, 회식 등 뭐든 좋을 곳이었어요. 특히 연예인들이 찾아 온다는 맛집이라 더 특별하게 느껴졌고 행복한 시간 보냈어용. 음식 짱맛탱^-^♡",길위의모노 (mono),1달 전,영지인
5,"특별한 날, 또는 특별한 모임이라면 추천드리고 싶어요
테이블이 하나라, 다른 사람들의 방해를 받지 않고 우리끼리만 있을 수 있어서 좋았어요
데이트 하기도 좋지만, 가족 모임이나 행사에 예약하면 모두 좋아하실거에요",H Y,1달 전,영지인
5,분위기도 프라이빗하고 음식도 정성이 느껴져서 오붓하게 좋은 시간 보내고 왔어요:),심예슬,1달 전,영지인
5,프라이빗한 원테이블에서 예약해서 가족들과 식사했어요! 코스요리들은 하나하나 정성이 느껴지고 알찼습니다. 재방문 의사 있습니다,투영,4달 전,영지인
4,경의선 철길의 끝에 자리잡은 분위기 좋은 브런치 식당으로 개성있고 보기 좋은 메뉴들이 인상적이었습니다. 날씨 좋은 주말에 야외테이블에서 브런치를 드시고 싶으시다면 한 번 방문해 보실 만한 곳이라고 생각합니다.,Chanho Andrew Kim (MUYO),7달 전,썸모어델리
4,"양송이랑 라자냐와 샌드위치 먹었어요~ 가격대가 조금 있긴 하지만 양송이 상당히 맛있습니다. 빵 추가해서 찍어먹는것도 강추에요!
라자냐 역시 프로급입니다! 전문점급 되요~

다만 가게가 협소해서 날씨 좋은날은 웨이팅이 좀
있습니다! 네이버 예약시에는 만원을 결제해야 예약이 됩니다!",쉐리나,2년 전,썸모어델리
5,예쁘고 맛있어요 ㅎ,정정환,8달 전,썸모어델리
4,"재료가 너므 신선해 풍미 가득한 브런치를
세 식구가 너무 잘 즐기고 왔어요
레몬에이드도 생으로 갈아 만들어주고
망고는 이가 시릴 정도로 차가워 입가심으로
여름철 메뉴론 아주 최고 ~~~~

스프와 다른 메뉴들도 너무 괜찮아
아주 싹싹 비우고 맛나게 먹고 연트럴 파크
산책도 하고 아주 좋은 주말 오전 시간",기분좋은 날,1년 전,썸모어델리
4,"브런치카페, 맛있어요",jamesdon Kim,1년 전,썸모어델리
5,그냥 최고라는 말로 대신하고 싶네요. 음식(안주라고 해야겠죠?)의 맛은 다른 수식어가 필요하지 않습니다. 취향이 아니라면 모든 메뉴가 다 맛있는데 그냥 맛있는 게 아니었습니다. 쉐프님이 조용히 영업하고 싶어 별도로 간판을 만들지 않으셨답니다. 그래서 처음 찾기는 조금 어려울 수 있는데 주변 표시가 잘되어 있어서 주소를 보고 가면 별로 어렵지 않습니다. 어떤 특정 메뉴를 추천할 수 없을만큼 모든 메뉴가 다 맛있고 독특한데(쉐프님만의 특별함이 있음) 기본적으로 숙성회는 꼭 드셔 보시고 기타 메뉴들 하나씩 경험해 보시면 좋을 것 같습니다. 별 5.75점 드리고 싶습니다.,Marcus Odin,7달 전,연남파도
5,사장님이 친절하고 푸딩이 맛나요!,주원안,2년 전,디어다온(DEAR DAON)
5,푸딩 존맛 다먹고 아쉬워서 또 포장해감,더돌,2년 전,디어다온(DEAR DAON)
5,"이 카페는 정말 사랑스러웠어요! 이곳은 우리가 한국에서 처음으로 방문한 카페인데, 최고의 결정이었습니다! 바리스타님이 너무 친절하시고 도움이 많이 되셨고, 방문하는 동안 어디로 가야할지 추천까지 해주셨어요! 커피도 맛있었어요 감사합니다!!",Ysabelle Santos,11달 전,디어다온(DEAR DAON)
5,내가 서울에서 가장 좋아하는 카페! 나는 분위기를 좋아합니다. 3 내가 먹어본 푸딩 중 최고의 푸딩입니다! 커피도 맛있고 다른 음료도 정말 맛있어요! 한 모금 마실 때마다 좋았어요 🩷,ola sakowska,1년 전,디어다온(DEAR DAON)
5,"훌륭한 바리스타가 있는 매우 귀여운 곳! 커피도 맛있었고, 서비스도 좋았습니다. 그들은 외국인을 매우 환영했고, 다음에 탐험하거나 외식할 곳을 훌륭하게 추천해 주었습니다.",Sara Gabrielle Reyes,11달 전,디어다온(DEAR DAON)
5,"깔끔하니 맛이 좋은 국밥집.
밥도 개인적으로 좋아하는 식감이라 국물이랑 함께 먹기에 좋다.
얼큰으로시켰는데 적당히 먹기좋게 맵다.

술도 파는데 맛있어보이는 술들이 많다.
메뉴를보면 술안주로 먹을만한 것들이 있는데 난 혼밥을해서 못먹어본게아쉽다.
사장님은 친절하시고 가게도 깔끔하고 맛있다.
재방문의사는 있으나 멀리서 오기에 위치는 조금 아쉽다",B K,5달 전,우탕
4,에서 한우사골스지곰탕... 메뉴와 가격은 사진 참조~,Bumsang Kim,6달 전,우탕
5,최고의 갈비탕. 갈비가 정말 부드럽습니다. 대파 추가해서 드시는 걸 추천.,라쿠엔,2년 전,우탕
5,"갈비탕이 기본으로 아주 맛남ㅋ 자극적이지 않고 깔끔하게 든든한 맛!
육개장은 맵찔이(신라면까지)에게 매콥하게 먹을 수 있는 곳ㅋ

다만 밥이 꼬들밥이라 개인적으론 아쉬운 곳....
그래도 여러번 방문한 집ㅎㅎ",Seunghoon Jeong,1년 전,우탕
5,그냥 맛있어요. 근처 사시면 갈비탕은 여기 가시면 됩니다.,신태웅,1년 전,우탕
3,"음식도 늦게 나오고 직원들도 불친절,,,했던 파스타집

음식: 음식 네 개 시켰는데 다 나오는데 30분 넘게 걸림. 심지어 마지막으로 나온 봉골레파스타가 너무 매워서(매운 거 잘 먹는데도 입이 얼얼할 정도) 깜짝 놀라 정중히 다시 조리를 부탁. 다시 나오는데 또 15분 넘게 걸림ㅋㅋㅋ... 뇨끼 평범했고 리조또 맛있었는데 봉골레 때문에 많이 화가 났었음;;

서비스: 그냥 웨이팅하는 시스템인데 남자 직원분들 안내도 없고 눈 마주쳐도 피함. 빈자리 찾아서 알아서 앉아야 하나 안내를 기다려야하나 계속 고민함... 봉골레파스타 너무 늦게 나와서 혹시 취소 안되냐고 여쭈었는데(안된다하시면 재조리 부탁드리려고 했음) 다들리게 '안된다고해'하심ㅋㅋㅋㅋㅋ하하^^,,, 오픈키친인데 친절함 1도 없고 인사해주는 사람도 없음. 서빙하는 알바언니들은 친절했음!

분위기: 깔끔하고 예쁨. 매장이 넓진 않지만 테이블도 은근 많고 괜춘. 조금 좁은 느낌이 있지만 그래도 센스있었음.

결론적으로 재방문 의사 0 웨이팅 비추함",챌니,2달 전,리차드하우스 연남
5,매콤 크림 파스타 진짜 하나도 안느끼하고 너무 맛있어요..! 새우도 완전 통통해서 맛있게 먹었습니다😋,심희경,2달 전,리차드하우스 연남
5,오랜만에 맛있는 파스타 집 찾음. 우니 파스타 진짜 너무 맛있음. 살짝 매콤한데 엄청 크리미 하지 않고 딱 좋음. 무조건 다시 와야지,DDukDDak LEE,4달 전,리차드하우스 연남
